mainCode,mainName,subCode,subName
C01,微生物学,C0102,微生物生理与生化
C01,微生物学,C0103,微生物组学与代谢
C01,微生物学,C0104,微生物遗传与生物合成
C01,微生物学,C0105,微生物学新技术与新方法
C01,微生物学,C0106,微生物与环境互作
C01,微生物学,C0107,病毒学
C01,微生物学,C0108,病原细菌学
C01,微生物学,C0109,病原真菌学与其他微生物
C02,植物学,C0202,植物系统发生与进化
C02,植物学,C0203,植物光合与固氮
C02,植物学,C0204,水分和营养物质的运输与代谢
C02,植物学,C0205,植物与环境互作
C02,植物学,C0206,植物激素与生长调节物质
C02,植物学,C0207,植物生殖与发育
C02,植物学,C0209,植物化学
C02,植物学,C0210,植物学研究的新技术、新方法
C03,生态学,C0303,生理生态学
C03,生态学,C0309,环境与生物演化
C03,生态学,C0310,污染生态学与恢复生态学
C03,生态学,C0311,土壤生态学
C04,动物学,C0401,动物进化与发育
C04,动物学,C0403,动物生理与行为
C04,动物学,C0404,动物繁育与种群动态
C04,动物学,C0406,海洋动物学
C04,动物学,C0407,野生动物疫病与传播
C04,动物学,C0408,实验动物学
C05,生物物理与生物化学,C0501,结构生物学
C05,生物物理与生物化学,C0502,分子生物物理
C05,生物物理与生物化学,C0503,细胞感应与环境生物物理
C05,生物物理与生物化学,C0504,物理生物学
C05,生物物理与生物化学,C0505,蛋白质、多肽与酶生物化学
C05,生物物理与生物化学,C0506,糖、脂生物化学
C05,生物物理与生物化学,C0507,核酸生物化学
C05,生物物理与生物化学,C0508,无机生物化学与环境测控
C05,生物物理与生物化学,C0509,生物学过程与代谢
C06,遗传学与生物信息学,C0601,遗传物质结构与功能
C06,遗传学与生物信息学,C0602,基因表达及非编码序列调控
C06,遗传学与生物信息学,C0603,表观遗传调控
C06,遗传学与生物信息学,C0604,表型、行为与疾病的遗传学基础
C06,遗传学与生物信息学,C0605,遗传与进化
C06,遗传学与生物信息学,C0608,生物数据资源与分析方法
C06,遗传学与生物信息学,C0609,生物大数据解析
C07,细胞生物学,C0701,细胞器及亚细胞结构、互作与功能
C07,细胞生物学,C0702,细胞信号转导
C07,细胞生物学,C0703,细胞增殖及细胞周期
C07,细胞生物学,C0704,细胞命运及重编程
C07,细胞生物学,C0705,细胞衰老、死亡及自噬
C07,细胞生物学,C0706,细胞极性与细胞运动
C07,细胞生物学,C0707,细胞变异与功能异常
C07,细胞生物学,C0708,细胞代谢、应激及稳态调控
C07,细胞生物学,C0709,细胞外微环境与细胞间通讯
C08,免疫学,C0801,固有免疫
C08,免疫学,C0802,适应性免疫
C08,免疫学,C0803,黏膜免疫与区域免疫
C08,免疫学,C0804,自身免疫与免疫耐受
C08,免疫学,C0805,肿瘤免疫微环境
C08,免疫学,C0806,感染与非感染性炎症
C08,免疫学,C0807,生殖免疫与移植免疫
C08,免疫学,C0808,疫苗、抗体与免疫干预
C09,神经科学与心理学,C0901,分子与细胞神经生物学
C09,神经科学与心理学,C0902,发育与衰老神经生物学
C09,神经科学与心理学,C0903,神经系统结构与功能及异常
C09,神经科学与心理学,C0904,感觉与运动系统神经生物学
C09,神经科学与心理学,C0905,行为与情感神经科学
C09,神经科学与心理学,C0906,认知神经生物学
C09,神经科学与心理学,C0907,认知心理学
C09,神经科学与心理学,C0911,生理与医学心理学
C09,神经科学与心理学,C0912,心理疾患与认知障碍及干预
C09,神经科学与心理学,C0913,神经科学与心理学研究的新技术和新范式
C10,生物材料、成像与组织工程学,C1001,生物力学与生物流变学
C10,生物材料、成像与组织工程学,C1002,生物材料与生物效应
C10,生物材料、成像与组织工程学,C1003,组织工程学
C10,生物材料、成像与组织工程学,C1004,组织再生与人工器官
C10,生物材料、成像与组织工程学,C1005,生物成像、电子与探针
C10,生物材料、成像与组织工程学,C1007,纳米生物学
C10,生物材料、成像与组织工程学,C1008,生物与医学工程新技术新方法
C11,生理学与整合生物学,C1101,循环与血液生理
C11,生理学与整合生物学,C1102,内分泌、泌尿与生殖生理
C11,生理学与整合生物学,C1103,呼吸与消化生理
C11,生理学与整合生物学,C1104,感觉器官与运动生理
C11,生理学与整合生物学,C1105,整合生理学与整合生物学
C11,生理学与整合生物学,C1106,衰老与生物节律
C11,生理学与整合生物学,C1107,营养与代谢生理学
C11,生理学与整合生物学,C1108,特殊环境生理与比较生理学
C11,生理学与整合生物学,C1109,病理生理学
C12,发育生物学与生殖生物学,C1201,干细胞基础研究
C12,发育生物学与生殖生物学,C1202,干细胞应用
C12,发育生物学与生殖生物学,C1203,早期胚胎发育及细胞谱系建立
C12,发育生物学与生殖生物学,C1204,组织器官发育及体外构建
C12,发育生物学与生殖生物学,C1205,组织器官稳态维持与再生修复
C12,发育生物学与生殖生物学,C1206,生殖细胞及性别决定
C12,发育生物学与生殖生物学,C1207,受精、着床及母胎互作
C12,发育生物学与生殖生物学,C1208,生殖异常及辅助生殖
C13,农学基础与作物学,C1304,作物生理学
C13,农学基础与作物学,C1305,作物逆境生物学
C13,农学基础与作物学,C1308,作物育种学
C13,农学基础与作物学,C1309,稻类作物栽培学
C13,农学基础与作物学,C1310,麦类作物与玉米栽培学
C13,农学基础与作物学,C1311,其他作物栽培学
C14,植物保护学,C1401,植物病理学
C14,植物保护学,C1402,农业昆虫学
C14,植物保护学,C1403,作物免疫与抗性
C14,植物保护学,C1404,农田草害、鼠害及其他有害生物
C14,植物保护学,C1405,植物化学保护
C14,植物保护学,C1406,生物防治
C14,植物保护学,C1407,植物保护新技术
